Tick; Norm proportion; No norm proportion; avg_col_norm; avg_col_nonorm; avg_suc_norm; avg_suc_nonorm; num_norm; num_nonorm
501.0;62.869198; 37.130802; 0.3; 0.42; 4.48; 3.86; 58; 42
1001.0;71.81208; 28.18792; 0.7982758; 1.057619; 3.7324138; 3.33; 70; 30
1501.0;87.40955; 12.590448; 0.61140394; 0.9019206; 3.9961774; 3.4776666; 90; 10
2001.0;96.40777; 3.592233; 0.19568227; 1.390192; 4.62218; 3.1477666; 99; 1
2501.0;99.64158; 0.35842296; 0.022178609; 3.390192; 4.996184; 7.1477666; 99; 1
3001.0;99.85465; 0.14534883; 0.010325037; 4.390192; 5.0403657; 11.147766; 96; 4
3501.0;98.48485; 1.5151515; 0.11469088; 2.847548; 4.8754206; 5.5369415; 98; 2
4001.0;99.24406; 0.75593954; 0.04198664; 3.423774; 5.008933; 5.768471; 97; 3
4501.0;99.23217; 0.76782453; 0.051979244; 2.141258; 4.9691644; 4.5894904; 99; 1
5001.0;99.002; 0.9980041; 5.250429E-4; 2.141258; 5.0602946; 9.589491; 99; 1
5501.0;99.77038; 0.22962111; 0.030308334; 3.141258; 4.980407; 12.589491; 100; 0
