Tick; Norm proportion; No norm proportion; avg_col_norm; avg_col_nonorm; avg_suc_norm; avg_suc_nonorm; num_norm; num_nonorm
501.0;63.117874; 36.88213; 0.24; 0.4; 4.52; 3.94; 66; 34
1001.0;81.947815; 18.052183; 0.70060605; 0.89411765; 3.9018185; 3.4982355; 77; 23
1501.0;90.94488; 9.055119; 0.45065725; 1.0823529; 4.2584653; 3.3694885; 92; 8
2001.0;97.16981; 2.8301888; 0.20055062; 1.3852941; 4.720201; 2.921186; 99; 1
2501.0;99.85402; 0.1459854; 0.012126774; 2.385294; 5.007275; 6.921186; 99; 1
3001.0;98.998; 1.0020039; 1.2249267E-4; 2.385294; 5.0404773; 11.921186; 98; 2
3501.0;99.819824; 0.18018019; 0.051021658; 1.692647; 4.9595966; 7.960593; 99; 1
4001.0;99.196785; 0.8032128; 5.153703E-4; 1.692647; 5.0399957; 11.960593; 98; 2
4501.0;99.82759; 0.1724138; 0.010209341; 1.3463235; 5.010612; 7.9802966; 99; 1
5001.0;99.62707; 0.37293553; 0.020305146; 3.3463235; 5.040511; 10.980297; 97; 3
5501.0;100.0; 0.0; 0.062065; 1.7821078; 4.959181; 6.9934325; 100; 0
