Tick; Norm proportion; No norm proportion; avg_col_norm; avg_col_nonorm; avg_suc_norm; avg_suc_nonorm; num_norm; num_nonorm
501.0;18.40179; 81.598206; 0.8; 1.9333333; 4.2; 2.9222221; 20; 80
1001.0;32.51534; 67.484665; 0.93999994; 1.7741667; 4.31; 3.286528; 27; 73
1501.0;41.454174; 58.54583; 0.92370373; 1.7229339; 4.1596293; 3.3463907; 39; 61
2001.0;57.404285; 42.59571; 0.79291546; 1.3397201; 4.2605033; 3.7597768; 62; 38
2501.0;83.44981; 16.550186; 0.4321438; 1.2457821; 4.633234; 3.8884153; 84; 16
3001.0;95.071335; 4.928664; 0.17181124; 1.3278613; 4.8646812; 4.118026; 93; 7
3501.0;98.393265; 1.606733; 0.08786894; 1.3325517; 4.9555345; 4.5882897; 96; 4
4001.0;98.726654; 1.2733446; 0.0634153; 1.833138; 4.9787035; 4.8970723; 96; 4
4501.0;98.726654; 1.2733446; 0.063160576; 1.9582845; 4.978945; 4.974268; 99; 1
5001.0;99.85465; 0.14534883; 0.010738995; 2.9582844; 5.040191; 8.974268; 100; 0
