Tick; Norm proportion; No norm proportion; avg_col_norm; avg_col_nonorm; avg_suc_norm; avg_suc_nonorm; num_norm; num_nonorm
501.0;48.71795; 51.282055; 0.25; 0.36666667; 4.575; 4.1666665; 51; 49
1001.0;48.798862; 51.201134; 1.0245098; 0.98707485; 3.3446078; 3.3095236; 52; 48
1501.0;54.32526; 45.674736; 0.8850867; 0.87473077; 3.5643194; 3.423115; 44; 56
2001.0;70.73955; 29.260448; 0.65647924; 0.8370488; 3.7628253; 3.703984; 68; 32
2501.0;85.564606; 14.4353895; 0.62730116; 0.83865774; 3.9082768; 3.2094994; 81; 19
3001.0;98.33128; 1.6687161; 0.2793494; 0.78098196; 4.517386; 3.589974; 97; 3
3501.0;98.96168; 1.0383189; 0.08535412; 1.5936607; 4.881623; 3.196658; 97; 3
4001.0;99.35843; 0.641574; 0.052426327; 1.5312203; 4.9575424; 4.398886; 99; 1
4501.0;99.85465; 0.14534883; 0.010630569; 2.5312204; 5.039975; 8.398886; 98; 2
5001.0;98.981674; 1.0183299; 1.084752E-4; 1.2656102; 5.010612; 6.699443; 98; 2
5501.0;99.697426; 0.30257186; 0.040817436; 1.6328051; 4.9797; 7.3497214; 100; 0
