Tick; Norm proportion; No norm proportion; avg_col_norm; avg_col_nonorm; avg_suc_norm; avg_suc_nonorm; num_norm; num_nonorm
501.0;19.765133; 80.23487; 0.6; 1.8; 4.3; 3.011111; 17; 83
1001.0;29.572777; 70.42723; 0.8; 1.8409638; 4.3705883; 3.2651942; 24; 76
1501.0;36.95715; 63.042854; 0.9916666; 1.8794864; 4.0987744; 3.2271736; 36; 64
2001.0;53.74149; 46.258503; 0.7775463; 1.919992; 4.2805214; 3.1285496; 54; 46
2501.0;74.34467; 25.655327; 0.5699546; 1.4765215; 4.486676; 3.763664; 81; 19
3001.0;93.82744; 6.1725593; 0.24160437; 1.2882379; 4.7714405; 3.9875612; 90; 10
3501.0;97.39244; 2.607562; 0.1137956; 1.3288238; 4.9085712; 4.398756; 98; 2
4001.0;98.95178; 1.048218; 0.031773426; 1.1644119; 5.019475; 7.199378; 97; 3
4501.0;97.00599; 2.9940119; 3.2756108E-4; 0.3881373; 5.0620565; 7.399793; 95; 5
5001.0;99.21875; 0.78125; 0.05263503; 1.0776274; 5.0006533; 5.4799585; 100; 0
