Tick; Norm proportion; No norm proportion; avg_col_norm; avg_col_nonorm; avg_suc_norm; avg_suc_nonorm; num_norm; num_nonorm
501.0;34.415783; 65.58422; 2.057143; 2.0; 5.6571426; 5.4923077; 29; 71
1001.0;25.992554; 74.007454; 2.0019705; 2.056338; 4.9536943; 6.11961; 25; 75
1501.0;20.433435; 79.56656; 3.0000787; 2.6540844; 4.2381477; 5.801595; 22; 78
2001.0;14.962217; 85.03778; 2.7727308; 1.9314626; 4.783552; 6.151303; 13; 87
2501.0;8.307333; 91.692665; 3.7517486; 2.2061088; 4.9833503; 6.404038; 6; 94
3001.0;12.971581; 87.02841; 1.7919582; 1.8638948; 7.330559; 7.2808943; 11; 89
3501.0;6.853583; 93.14642; 1.7992688; 1.683864; 6.8482327; 7.7559648; 6; 94
4001.0;4.3103447; 95.68965; 1.9665447; 1.8477007; 6.974705; 7.7739997; 5; 95
4501.0;2.7663937; 97.233604; 2.593309; 1.7141863; 6.9949408; 7.7449894; 2; 98
5001.0;2.2058823; 97.79411; 2.2966545; 1.1399407; 11.497471; 8.405561; 1; 99
5501.0;1.341177; 98.65882; 4.2966547; 2.3953528; 18.49747; 7.418238; 0; 100
